block,uncles_zero,uncles_one,uncles_two,difficulty_median,difficulty_mean,difficulty_p1,difficulty_p5,difficulty_p25,difficulty_p50,difficulty_p75,difficulty_p95,difficulty_p99,timedelta_median,timedelta_mean,timedelta_p1,timedelta_p5,timedelta_p25,timedelta_p50,timedelta_p75,timedelta_p95,timedelta_p99,block_timestamp_date,block_timestamp_time
560000,9051,898,51,8.384171613959e+12,8.312092903553614e+12,7.837130600055e+12,7.909887190277e+12,8.136069781169e+12,8.384163618253e+12,8.485978164651e+12,8.581089562414e+12,8.626987673543e+12,12,16.9281,1,2,6,12,23,47,72,2015-11-18,14:01:07
570000,9126,837,37,8.692765906667e+12,8.595095088685381e+12,7.856989213487e+12,7.938312022324e+12,8.539469025758e+12,8.692760725413e+12,8.779458677287e+12,8.967518336057e+12,9.073691878231e+12,13,17.5494,1,2,6,13,24,49,76,2015-11-20,14:46:01
580000,9171,789,40,7.570934584833e+12,7.578690279519188e+12,7.453889541708e+12,7.472944415321e+12,7.520680691723e+12,7.570933682315e+12,7.628860801577e+12,7.707306912097e+12,7.733533985646e+12,13,17.3239,1,2,6,13,24,49,74,2015-11-22,14:53:20
590000,9093,866,41,7.580611405501e+12,7.591218568871506e+12,7.447371246263e+12,7.473445146606e+12,7.534551314346e+12,7.58061050183e+12,7.648714029965e+12,7.724592142761e+12,7.739926488712e+12,12,17.1121,1,2,6,12,23,48,69,2015-11-24,14:25:21
600000,9097,841,62,7.5672614562175e+12,7.5715565642264e+12,7.418023713461e+12,7.440528689643e+12,7.505159050915e+12,7.567260586781e+12,7.640505035483e+12,7.704715584165e+12,7.741427840241e+12,13,17.2949,1,2,6,13,24,48,71,2015-11-26,14:27:50
610000,9006,934,60,7.514234001906e+12,7.52308562986315e+12,7.18963061811e+12,7.23565372239e+12,7.399003122088e+12,7.514231314654e+12,7.684005475995e+12,7.790897933764e+12,7.815993112165e+12,12,17.1374,1,2,6,12,23,48,71,2015-11-28,14:04:04
620000,8999,947,54,7.7269622407315e+12,7.72630367298993e+12,7.592203036266e+12,7.617620699985e+12,7.679119312907e+12,7.726961319622e+12,7.765167955359e+12,7.839598077114e+12,7.900824860832e+12,12,17.1178,1,2,6,12,23,48,72,2015-11-30,13:37:02
630000,8975,975,50,7.8737827138895e+12,7.869028609048339e+12,7.711586474049e+12,7.752225736537e+12,7.837577000049e+12,7.873781775277e+12,7.907024835014e+12,7.97142239509e+12,7.994705582875e+12,12,17.07,1,2,6,12,23,47,70,2015-12-02,13:02:02
640000,9045,918,37,7.696046082333e+12,7.661729773504025e+12,7.377193243209e+12,7.410114063693e+12,7.562397712093e+12,7.696045164909e+12,7.76568759752e+12,7.842443585534e+12,7.895174251799e+12,13,17.2247,1,2,6,13,23,48,71,2015-12-04,12:52:49
650000,9186,772,42,8.080564366444e+12,8.028825578154728e+12,7.696755415337e+12,7.725671402926e+12,7.878572427508e+12,8.080563917234e+12,8.163153674815e+12,8.250825615572e+12,8.282816294984e+12,13,17.4365,1,2,6,13,24,49,74,2015-12-06,13:18:54
660000,9109,828,63,7.6814180349685e+12,7.698609898192635e+12,7.533939819884e+12,7.561319017499e+12,7.613858228708e+12,7.681417119288e+12,7.774796054451e+12,7.875686035336e+12,7.922984288849e+12,13,17.3172,1,2,6,13,23,48,72,2015-12-08,13:25:06
670000,9006,939,55,7.3942479400275e+12,7.446919060256165e+12,7.12057936422e+12,7.214770404703e+12,7.327979431303e+12,7.394244414239e+12,7.51238731556e+12,7.821636856942e+12,7.867683827431e+12,12,16.9045,1,2,6,12,23,46,72,2015-12-10,12:22:31
680000,9117,847,36,8.0096154029375e+12,7.994456161533483e+12,7.699136323436e+12,7.797628760968e+12,7.912733167808e+12,8.009614448133e+12,8.086844550475e+12,8.165949471684e+12,8.245731861572e+12,12,17.0647,1,2,6,12,23,48,72,2015-12-12,11:46:38
690000,9189,783,28,8.3632357160095e+12,8.41483871236994e+12,7.941249634581e+12,7.988602611517e+12,8.212117294844e+12,8.363226743374e+12,8.700430169558e+12,8.78812226091e+12,8.824713259597e+12,12,16.7763,1,2,6,12,23,47,72,2015-12-14,10:22:41
700000,9146,822,32,8.656698293427e+12,8.655712661950192e+12,8.34155481006e+12,8.399046839533e+12,8.546141321539e+12,8.656697261484e+12,8.755642293679e+12,8.925055359648e+12,8.985754891777e+12,12,17.1807,1,2,6,12,23,48,73,2015-12-16,10:06:08
710000,9230,738,32,8.697694850636e+12,8.691338675396273e+12,8.419625784638e+12,8.466775474191e+12,8.562018607107e+12,8.697615015956e+12,8.825654117229e+12,8.887975511425e+12,8.911549537037e+12,12,17.1295,1,2,6,12,23,48,75,2015-12-18,09:41:03
720000,9193,784,23,8.6947540344535e+12,8.709216498023592e+12,8.5603107392e+12,8.585160461481e+12,8.644652983377e+12,8.69475299799e+12,8.763803404217e+12,8.877821666597e+12,8.908409910642e+12,13,17.261,1,2,6,13,23,48,74,2015-12-20,09:37:53
730000,9178,787,35,8.5414937978165e+12,8.559773628475148e+12,8.343807205286e+12,8.372084451179e+12,8.455234457832e+12,8.541492779623e+12,8.631377836274e+12,8.817456542144e+12,8.872651733815e+12,12,17.183,1,2,6,12,23,48,73,2015-12-22,09:21:43
740000,9126,819,55,8.570236048521e+12,8.581500192787141e+12,8.382926509518e+12,8.421695742607e+12,8.477480199399e+12,8.570235026901e+12,8.664808268341e+12,8.788654660359e+12,8.836339212323e+12,13,17.0375,1,2,6,13,23,47,70,2015-12-24,08:41:18
750000,9248,721,31,8.526943110981e+12,8.54589827658133e+12,8.356443850999e+12,8.389438064467e+12,8.472535066827e+12,8.526942094522e+12,8.596300372953e+12,8.751373717796e+12,8.798635734085e+12,13,17.1024,1,2,6,13,23,48,71,2015-12-26,08:11:42
760000,9174,791,35,8.5024354742715e+12,8.517992723623414e+12,8.250064870884e+12,8.306116610001e+12,8.416230723842e+12,8.502394932773e+12,8.619929202908e+12,8.74163254536e+12,8.79241015882e+12,12,17.1666,1,2,6,12,23,48,72,2015-12-28,07:52:48
770000,9123,842,35,8.5659940781605e+12,8.574661530313086e+12,8.34087198843e+12,8.398455416448e+12,8.479638054157e+12,8.565988972589e+12,8.667149018594e+12,8.759867395654e+12,8.798836741231e+12,12,17.2483,1,2,6,12,23,48,72,2015-12-30,07:47:31
780000,9161,806,33,8.5205640681635e+12,8.5391577409091455e+12,8.321681277579e+12,8.37022904708e+12,8.452848476928e+12,8.520563052465e+12,8.651181468797e+12,8.723562415082e+12,8.757859984344e+12,12,17.0479,1,2,6,12,23,48,70,2016-01-01,07:08:50
790000,9095,866,39,8.241378575992e+12,8.291760968037755e+12,8.001751547426e+12,8.056455940294e+12,8.134336562062e+12,8.241377593575e+12,8.484180393621e+12,8.579030238321e+12,8.623719512071e+12,13,17.2726,1,2,6,13,24,48,69,2016-01-03,07:07:36
800000,9023,928,49,8.3062841131865e+12,8.322264128438672e+12,8.154667576324e+12,8.217869134645e+12,8.269896346692e+12,8.306283123032e+12,8.380308588428e+12,8.458773292659e+12,8.479578198152e+12,13,16.8949,1,2,6,13,23,46,69,2016-01-05,06:03:25
810000,8908,1028,64,8.3523616028815e+12,8.394618083464165e+12,8.100846216123e+12,8.152791694716e+12,8.257010088638e+12,8.352359611651e+12,8.528289082591e+12,8.683692659213e+12,8.722125575967e+12,12,16.9732,1,2,6,12,23,47,70,2016-01-07,05:12:17
820000,8981,959,60,8.2268590766225e+12,8.24105961203608e+12,7.864100383589e+12,7.93723793172e+12,8.083449462063e+12,8.226825734375e+12,8.430723202383e+12,8.522501115371e+12,8.588932341323e+12,13,17.0914,1,2,6,13,23,47,70,2016-01-09,04:40:51
830000,9047,897,56,8.4278116024405e+12,8.393089112952118e+12,8.174711649875e+12,8.206463966303e+12,8.314745550559e+12,8.427810597831e+12,8.47819421896e+12,8.515561303307e+12,8.543792506783e+12,12,16.8553,1,2,6,12,23,47,71,2016-01-11,03:30:04
840000,9306,677,17,8.8471768602965e+12,8.87720423367346e+12,8.55156111331e+12,8.605842768614e+12,8.757369543373e+12,8.847175805695e+12,9.052330775307e+12,9.126083110848e+12,9.14875831786e+12,12,17.3143,1,2,6,12,24,49,73,2016-01-13,03:35:47
850000,9253,708,39,8.564859616803e+12,8.62286384522672e+12,8.256588183133e+12,8.305498706376e+12,8.467371877627e+12,8.564858595856e+12,8.864369844792e+12,8.998144525052e+12,9.042431819265e+12,12,17.06,1,2,6,12,23,48,73,2016-01-15,02:59:07
860000,9327,653,20,9.1422099834525e+12,9.104946988334955e+12,8.792808008908e+12,8.827480939778e+12,8.964843434727e+12,9.14220889368e+12,9.227995083883e+12,9.319894781682e+12,9.361132290052e+12,12,17.1176,1,2,6,12,23,48,72,2016-01-17,02:32:03
870000,9310,670,20,9.1513236301505e+12,9.288724844782258e+12,8.93759323461e+12,8.972015700386e+12,9.069490773926e+12,9.151229816297e+12,9.594139210244e+12,9.768439368398e+12,9.854457058275e+12,12,16.9771,1,2,6,12,23,48,75,2016-01-19,01:41:34
880000,9348,626,26,9.478473190299e+12,9.471145936373248e+12,9.175790574736e+12,9.24747279482e+12,9.418836713487e+12,9.478469800724e+12,9.531718494701e+12,9.667061280506e+12,9.78146593765e+12,13,17.2998,1,2,6,13,23,49,75,2016-01-21,01:44:52
890000,9395,585,20,9.7055379174775e+12,9.761917206599938e+12,9.453066629094e+12,9.508357595575e+12,9.608995931984e+12,9.705529818993e+12,9.947148835141e+12,1.010485598723e+13,1.0138835561598e+13,12,17.3651,1,2,6,12,23,50,75,2016-01-23,01:59:03
900000,9348,632,20,1.00444777300225e+13,1.0119559391606895e+13,9.792989119734e+12,9.831256858818e+12,9.931954139507e+12,1.0044476532691e+13,1.0227049830728e+13,1.0653665065747e+13,1.0720466967065e+13,12,17.1062,1,2,6,12,23,48,73,2016-01-25,01:30:05
910000,9349,629,22,1.03891175248615e+13,1.0478385947283406e+13,1.0024089547362e+13,1.0127246279596e+13,1.0249143573538e+13,1.038911628651e+13,1.0720431186772e+13,1.0946694675162e+13,1.1016289923691e+13,12,17.2333,1,2,6,12,24,48,71,2016-01-27,01:22:18
920000,9380,595,25,1.06401498301935e+13,1.0630529690288428e+13,1.0080093869909e+13,1.0159441239362e+13,1.0498256945338e+13,1.063977061522e+13,1.0837822677621e+13,1.0939922926941e+13,1.098045248172e+13,13,17.1538,1,2,6,13,23,48,73,2016-01-29,01:01:16
930000,9387,590,23,1.08758134089095e+13,1.0880906577263457e+13,1.0573568337899e+13,1.0656884024163e+13,1.0818537187755e+13,1.0875812500248e+13,1.0942262104737e+13,1.1093903584693e+13,1.1132665994813e+13,12,17.2836,1,2,6,12,23,49,75,2016-01-31,01:01:52
940000,9296,681,23,1.0784731093751e+13,1.0809056425066633e+13,1.0527552268223e+13,1.0591549079027e+13,1.0679177545397e+13,1.0784724666189e+13,1.0943548501196e+13,1.1073890466638e+13,1.1117781077155e+13,13,17.4512,1,2,6,13,23,50,78,2016-02-02,01:30:24
950000,9398,584,18,1.07824025098735e+13,1.0772797277949547e+13,1.0280479049334e+13,1.0351117432839e+13,1.0474411544899e+13,1.0782399939404e+13,1.1061007054566e+13,1.120691601536e+13,1.1278439907154e+13,12,17.0774,1,2,6,12,23,47,72,2016-02-04,00:56:38
960000,9334,644,22,1.1164416820475e+13,1.114455688124549e+13,1.0832915663141e+13,1.0870247877707e+13,1.1021654350597e+13,1.1164413234334e+13,1.1268729703131e+13,1.1388620094482e+13,1.1464560206877e+13,12,17.0852,1,2,6,12,23,48,71,2016-02-06,00:24:10
970000,9313,667,20,1.08925260167765e+13,1.0957375506399945e+13,1.07079568163e+13,1.0735427421853e+13,1.0824784815481e+13,1.0892192337485e+13,1.109494384656e+13,1.1367180980332e+13,1.1462223918208e+13,12,17.1402,1,2,6,12,23,48,74,2016-02-08,00:00:52
980000,9370,608,22,1.1460750321605e+13,1.1391040143443998e+13,1.1061971884627e+13,1.1104412129562e+13,1.1187317941885e+13,1.1460747589405e+13,1.1544657721509e+13,1.1668467603224e+13,1.1713726191046e+13,12,17.0823,1,2,6,12,23,48,74,2016-02-09,23:27:55
