block,uncles_zero,uncles_one,uncles_two,difficulty_avg,blocktime_avg
1250000,9361,609,30,22940272564347,14
1260000,9348,627,25,23899985787403,14
1270000,9322,639,39,23784475537497,14
1280000,9312,652,36,25219987100640,14
1290000,9379,587,34,25682774187005,14
1300000,9349,612,39,25033161197165,14
1310000,9382,586,32,26898379497119,14
1320000,9365,606,29,27110805673250,14
1330000,9376,594,30,26560281611817,14
1340000,9398,566,36,27561311078657,14
1350000,9332,632,36,28736010599945,14
1360000,9325,628,47,28735160852821,14
1370000,9323,639,38,29819714000863,14
1380000,9303,663,34,30717286580527,14
1390000,9334,628,38,30190131802795,14
1400000,9291,675,34,30584334584404,14
1410000,9291,671,38,31751406553159,14
1420000,9304,666,30,31455484117034,14
1430000,9307,652,41,32528613309189,14
1440000,9343,625,32,34334323250654,14
1450000,9318,647,35,32950935919388,14
1460000,9263,704,33,34101614356643,14
1470000,9280,685,35,34029233704670,14
1480000,9283,673,44,34130136868374,14
1490000,9290,666,44,34976284388595,14
1500000,9224,746,30,35282432847471,14
1510000,9234,718,48,35228321304137,14
1520000,9164,780,56,36957969269757,14
1530000,9238,728,34,37319276651665,14
1540000,9184,778,38,36890856073707,14
1550000,9243,718,39,39208155076948,14
1560000,9218,751,31,40471454696218,14
1570000,9255,723,22,39956391260150,14
1580000,9189,779,32,40936039015497,14
1590000,9150,805,45,41566683655336,14
1600000,9154,805,41,42077588578312,14
1610000,9191,779,30,43279324604551,14
1620000,9228,743,29,43642903189252,14
1630000,9232,744,24,42126350240774,14
1640000,9213,755,32,44520468114074,14
1650000,9226,747,27,44978216868449,14
1660000,9267,711,22,45541209978822,14
1670000,9250,724,26,45929910773719,14
1680000,9325,652,23,47837274317602,14
1690000,9268,702,30,46738995903227,14
1700000,9293,675,32,48637250457795,14
1710000,9245,722,33,49639695447457,14
1720000,9189,781,30,49949384329067,14
1730000,8117,1681,202,46090542169833,14
1740000,9245,725,30,50594945064459,14
1750000,9176,793,31,49893197443917,14
1760000,9272,704,24,52871483160109,14
1770000,9260,715,25,53208675833324,14
1780000,9243,722,35,53908439536768,14
1790000,9269,705,26,55774892182449,14
1800000,9206,743,51,55089465370478,14
1810000,9255,705,40,55436059808888,14
1820000,9249,723,28,57212356135060,14
1830000,9284,681,35,58102017974977,14
1840000,9252,721,27,57064250945455,14
1850000,9247,722,31,57924354980233,14
1860000,9192,762,46,57246970447250,14
1870000,9316,654,30,59090704941596,14
1880000,9305,667,28,59754174834107,14
1890000,9248,716,36,59723571584082,14
1900000,9288,682,30,58472848561188,14
1910000,9273,695,32,59562962788403,14
1920000,9232,728,40,60415270559258,14
1930000,9211,731,58,1125233710386,24
1940000,8377,1459,164,680063755069,10
1950000,8617,1229,154,3051337543973,14
1960000,7774,1858,368,6514447349542,12
1970000,8498,1348,154,6664116364696,14
1980000,8612,1266,122,7347582627029,14
1990000,8447,1415,138,7588729117657,13
2000000,8297,1542,161,11724784742423,13
2010000,8292,1537,171,14009444692682,14
2020000,8062,1734,204,10881372212351,14
2030000,7924,1846,230,11371737216214,14
2040000,8182,1623,195,10347235969433,14
2050000,8645,1258,97,8308967295680,14
2060000,8796,1115,89,9429153682827,14
2070000,8783,1136,81,9563026131732,14
2080000,8693,1209,98,9928998202597,14
2090000,8589,1301,110,9883381885595,14
2100000,8282,1532,186,9370441999111,14
2110000,8355,1489,156,9378116345610,14
2120000,8733,1141,126,9655565945874,14
2130000,8683,1204,113,9353185885675,14
2140000,8726,1151,123,8369225289791,14
2150000,8904,1019,77,8772308656094,14
2160000,8775,1151,74,8331110001684,14
2170000,8782,1106,112,7790582325668,14
2180000,8655,1227,118,7368540797976,14
2190000,8645,1228,127,7992629243299,14
2200000,8847,1069,84,7803888493113,14
